Station ID,Station Name,Town,Region,Country,Latitude (N),Longitude (E),Building Condition,Service Status,Status Year,Station Notes,Stop Sequence,Line ID,Line Name,Year Opened,Gauge,Line Status,Status Year.1,Notes,Is in NP-M
1,Pärnu,Pärnu,Pärnu maakond,Estonia,58.372409,24.55566,Ruined/Disused,Closed,2018,New station (opened 2018),1,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
2,Pärnu,Pärnu,Pärnu maakond,Estonia,58.359444,24.572778,Ruined/Disused,Closed,2014,Old station (opened 1976),2,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
3,Vaskrääma,Pärnu,Pärnu maakond,Estonia,58.295389,24.670813,Residential,Closed,1996,,3,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
4,Surju,Jaamaküla,Pärnu maakond,Estonia,58.251432,24.743746,Residential,Closed,1996,,4,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
5,Riisselja,Sigaste,Pärnu maakond,Estonia,58.212537,24.821608,Dismantled/Not built,Closed,1975,,5,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
5,Riisselja,Sigaste,Pärnu maakond,Estonia,58.212537,24.821608,Dismantled/Not built,Closed,1975,,1,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
6,Sigaste,Sigaste,Pärnu maakond,Estonia,58.179016,24.902263,Residential,Closed,1996,"Nearest road - 58.181987, 24.896996",6,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
7,Kilingi-Nõmme,Kilingi-Nõmme,Pärnu maakond,Estonia,58.151809,24.980583,Residential,Closed,1996,Sign remains,7,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
8,Tihemetsa,Leipste,Pärnu maakond,Estonia,58.136861,25.028861,Dismantled/Not built,Closed,1996,,8,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
9,Mõisaküla,Mõisaküla,Pärnu maakond,Estonia,58.092799,25.187871,Non-railway use,Closed,1996,Museum,9,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
10,Ristiküla,Ristiküla,Pärnu maakond,Estonia,58.194118,24.746249,Residential,Closed,1975,Off the main road,2,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
11,Timmkanali,Kõveri,Pärnu maakond,Estonia,58.145856,24.687848,Dismantled/Not built,Closed,1975,,3,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
12,Laiksaare,Nepste,Pärnu maakond,Estonia,58.088611,24.630953,Dismantled/Not built,Closed,1975,,4,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
13,Massiaru,Massiaru,Pärnu maakond,Estonia,58.002902,24.565027,Dismantled/Not built,Closed,1975,"Presumed demolished, not visible on map",5,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
14,Teaste,Majaka,Pärnu maakond,Estonia,57.95977,24.5333,Dismantled/Not built,Closed,1975,,6,2,Riisselja–Orajõe,1923,750 mm,Dismantled,1975,,FALSE
