Station ID,Station Name,Town,Region,Country,Building Condition,Service Status,Service Status Year,Lat,Lon,Station Notes,Stop Sequence,Line ID,Line Name,Year Opened,Gauge,Line Status,Line Status Year,Line Notes,Is in NP-M
1,Pärnu,Pärnu,Pärnu maakond,Estonia,Ruined/Disused,Closed,2018,58.372409,24.55566,New station (opened 2018),1,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
2,Pärnu,Pärnu,Pärnu maakond,Estonia,Ruined/Disused,Closed,2014,58.359444,24.572778,Old station (opened 1976),2,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
3,Vaskrääma,Pärnu,Pärnu maakond,Estonia,Residential,Closed,1996,58.295389,24.670813,,3,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
4,Surju,Jaamaküla,Pärnu maakond,Estonia,Residential,Closed,1996,58.251432,24.743746,,4,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
5,Riisselja,Sigaste,Pärnu maakond,Estonia,Dismantled/Not built,Closed,1975,58.212537,24.821608,,5,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
6,Sigaste,Sigaste,Pärnu maakond,Estonia,Residential,Closed,1996,58.179016,24.902263,"Nearest road - 58.181987, 24.896996",6,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
7,Kilingi-Nõmme,Kilingi-Nõmme,Pärnu maakond,Estonia,Residential,Closed,1996,58.151809,24.980583,Sign remains,7,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
8,Tihemetsa,Leipste,Pärnu maakond,Estonia,Dismantled/Not built,Closed,1996,58.136861,25.028861,,8,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
9,Mõisaküla,Mõisaküla,Pärnu maakond,Estonia,Non-railway use,Closed,1996,58.092799,25.187871,Museum,9,1,Pärnu–Mõisaküla,1896,1520 mm,Dismantled,2008,Converted from 750mm in 1975,FALSE
1,Pärnu,Pärnu,Pärnu maakond,Estonia,Ruined/Disused,Closed,2018,58.372409,24.55566,New station (opened 2018),11,35,Lelle—Pärnu,1928,1520 mm,Freight only,2021,Until 1971 - 750 mm; Closed for Rail Baltica construction,FALSE
